38FE261896FF24EFE05400144FFBC104|Merck Thailand Smart Messaging Pay Per Use Corp
2FA600C35DAF1677E0540010E05D2C7C|Mobile Connect Smart Messaging MMS 42000BCorp
8a8d2daf36eae8d8013759245f88357a|Mobile EDC 100B 10MB 24Months (??????)
1-6UXGWIV|Mobile EDC 930 GPlus
1-6UXGWJ7|Mobile EDC 930S L200 Optimus
1-2E6IGHD|Mobile EDC Banking Package 150B 2MB
1-2E6IGI9|Mobile EDC Banking Package 200B 3MB
1-2E6IGJ5|Mobile EDC Banking Package 300B 5MB
1-2E6IGK1|Mobile EDC Banking Package 500B 10MB
1-2E6IGKX|Mobile EDC Banking Package 900B Unlimited GPRS
1-53GU59X|Mobile EDC For Amex 150
1-4RS3SWJ|Mobile EDC For BAY 150
1-4RS3SU7|Mobile EDC For BBL 150
1-2V6P0MF|Mobile EDC For Banking Team 150B
1-4RS3SVT|Mobile EDC For KBank 150
1-4RS3SWF|Mobile EDC For KTB 150
1-5E2FU2D|Mobile EDC For Kbank & Howa Taxi Project 150
1-4RS3SWN|Mobile EDC For OCG 150
1-2M3WC1T|Mobile EDC For Payment Solution Ready Pay 650B 60 Months
1-4RS3SQZ|Mobile EDC For SCB 150
1-4RS3SVP|Mobile EDC For SCIB 150
1-4RS3SWB|Mobile EDC For TMB 150
1-4RS3SVX|Mobile EDC For UOB 150
8a7bb50248a8ff190148d44539b44e33|Mobile EDC GHL 80B 5MB
1-7484UI9|Mobile EDC Plus Buffet Extra Ontop 199B 12Months
1-7484V43|Mobile EDC Plus Extra Ontop All Network 100B Free 100Min 12Months
1-6UXGWJU|Mobile EDC Plus Extra Ontop Unlimited 12Months
1-2I3Z1U6|Mobile EDC Ready GPRS 5MB Pay 850B 36Months
1-7AXPLC3|Mobile EDC Symstream 103B 12Months
1-7AXPLCG|Mobile EDC Symstream 153B 12Months
1-7AXPLCT|Mobile EDC Symstream 203B 12Months
1-709XJ1R|Mobile EDC Symstream 239B 12Months
1-660OG3D|Mobile EDC for Posnet 120B 10MB
9D6BEE8B7F262EF8E04400B5DE06DF2|Mtouch Smart Messaging On Net-Off Net Pay 120000B SMS Value 120000B
9D6E05264B8B2495E04400B5DE06DF2|Mtouch Smart Messaging On Net-Off Net SMS Value 120000B Pay 120000B
CF5FFEF19568469CE04400B5DE06DF2|Nestle ThaiY2012 Smart Messaging 160000B 300000SMS 0.57B
A55F60E4055A4A7D81802D3D403528D1|Nithiboon Smart Messaging MMS Pay 22500BCorp
1-5NQ1NRB|Outlet Mall Smart Messaging 5000B 555SMS
C9562C534C9F0045E04400B5DE06DF2|PTG EnergyY2012 Smart Messaging 47000B 100000SMS Non Marginal Step
1-7AXH35F|PTT Chemical Smart Messaging 10600B 10000SMS 1B 36Months
1-7AXH351|PTT Chemical Smart Messaging 5000B 5000SMS 0.90B 24Months
D00476801E366F9E05400B5DE06DF2|PTT Smart Messaging On Net-Off Net Pay Per Use Corp
3DA444D343AD3707E05400144FFBC104|PTT Smart Messaging Pay Per Use Corp
FA4DDDBDF15B0555E044A0369F220710|PTT Smart Messaging Pay Per use 0.5B
1-6JWELAY|PTT Smart Messaging Special 0.55B 12Months
1-5AEV8FN|PTT Smart Messaging Special 0.60B
1-60CZHOL|PTTChem Smart Messaging 1000B 1000SMS 0.75B 12Months
9E6E741E92D736D0E04400B5DE06DF2|Pfizer Smart Messaging 6000B 10520SMS 0.60B 24Months
